"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive" "mean_negative" "weighted_mean_negative" "max_negative" "min_negative"
0.00330 14214 0 0.9975 1.0000 0.9909 0.9991 0.9991 1.0000 0.9967 0.9909 0.9909 0.9909 0.9909
0.00337 14213 0 0.9974 1.0000 0.9907 0.9991 0.9991 1.0000 0.9966 0.9907 0.9907 0.9907 0.9907
0.00344 14212 0 0.9973 1.0000 0.9905 0.9991 0.9991 1.0000 0.9965 0.9905 0.9905 0.9905 0.9905
0.00351 14211 0 0.9973 1.0000 0.9903 0.9990 0.9990 1.0000 0.9965 0.9903 0.9903 0.9903 0.9903
0.00358 14210 0 0.9972 1.0000 0.9901 0.9990 0.9990 1.0000 0.9964 0.9901 0.9901 0.9901 0.9901
0.00365 14209 0 0.9972 1.0000 0.9899 0.9990 0.9990 1.0000 0.9963 0.9899 0.9899 0.9899 0.9899
0.00372 14208 0 0.9971 1.0000 0.9897 0.9990 0.9990 1.0000 0.9963 0.9897 0.9897 0.9897 0.9897
0.00379 14207 0 0.9971 1.0000 0.9896 0.9990 0.9990 1.0000 0.9962 0.9896 0.9896 0.9896 0.9896
0.00386 14206 0 0.9970 1.0000 0.9894 0.9989 0.9989 1.0000 0.9961 0.9894 0.9894 0.9894 0.9894
0.00393 14205 0 0.9970 1.0000 0.9892 0.9989 0.9989 1.0000 0.9960 0.9892 0.9892 0.9892 0.9892
0.00400 14204 0 0.9969 1.0000 0.9890 0.9989 0.9989 1.0000 0.9960 0.9890 0.9890 0.9890 0.9890
0.00407 14203 0 0.9969 1.0000 0.9888 0.9989 0.9989 1.0000 0.9959 0.9888 0.9888 0.9888 0.9888
0.00414 14202 0 0.9968 1.0000 0.9886 0.9989 0.9989 1.0000 0.9958 0.9886 0.9886 0.9886 0.9886
0.00421 14201 0 0.9968 1.0000 0.9884 0.9988 0.9988 1.0000 0.9957 0.9884 0.9884 0.9884 0.9884
0.00428 14200 0 0.9967 1.0000 0.9882 0.9988 0.9988 1.0000 0.9957 0.9882 0.9882 0.9882 0.9882
0.00435 14199 0 0.9966 1.0000 0.9880 0.9988 0.9988 1.0000 0.9956 0.9880 0.9880 0.9880 0.9880
0.00442 14198 0 0.9966 1.0000 0.9878 0.9988 0.9988 1.0000 0.9955 0.9878 0.9878 0.9878 0.9878
0.00449 14197 0 0.9965 1.0000 0.9877 0.9988 0.9988 1.0000 0.9955 0.9877 0.9877 0.9877 0.9877
0.00456 14196 0 0.9965 1.0000 0.9875 0.9987 0.9987 1.0000 0.9954 0.9875 0.9875 0.9875 0.9875
0.00463 14195 0 0.9964 1.0000 0.9873 0.9987 0.9987 1.0000 0.9953 0.9873 0.9873 0.9873 0.9873
0.00470 14194 0 0.9964 1.0000 0.9871 0.9987 0.9987 1.0000 0.9952 0.9871 0.9871 0.9871 0.9871
0.00477 14193 0 0.9963 1.0000 0.9869 0.9987 0.9987 1.0000 0.9952 0.9869 0.9869 0.9869 0.9869
0.00484 14192 0 0.9963 1.0000 0.9867 0.9987 0.9987 1.0000 0.9951 0.9867 0.9867 0.9867 0.9867
0.00491 14191 0 0.9962 1.0000 0.9865 0.9986 0.9986 1.0000 0.9950 0.9865 0.9865 0.9865 0.9865
0.00498 14190 0 0.9962 1.0000 0.9863 0.9986 0.9986 1.0000 0.9949 0.9863 0.9863 0.9863 0.9863
0.00505 14189 0 0.9961 1.0000 0.9861 0.9986 0.9986 1.0000 0.9949 0.9861 0.9861 0.9861 0.9861
0.00512 14188 0 0.9961 1.0000 0.9859 0.9986 0.9986 1.0000 0.9948 0.9859 0.9859 0.9859 0.9859
0.00519 14187 0 0.9960 1.0000 0.9858 0.9986 0.9986 1.0000 0.9947 0.9858 0.9858 0.9858 0.9858
0.00526 14186 0 0.9959 1.0000 0.9856 0.9985 0.9985 1.0000 0.9947 0.9856 0.9856 0.9856 0.9856
0.00533 14185 0 0.9959 1.0000 0.9854 0.9985 0.9985 1.0000 0.9946 0.9854 0.9854 0.9854 0.9854
0.00540 14184 0 0.9958 1.0000 0.9852 0.9985 0.9985 1.0000 0.9945 0.9852 0.9852 0.9852 0.9852
0.00547 14183 0 0.9958 1.0000 0.9850 0.9985 0.9985 1.0000 0.9944 0.9850 0.9850 0.9850 0.9850
