"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00671 30639 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00681 30636 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00691 30633 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00700 30630 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00710 30627 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00720 30624 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00729 30621 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00739 30618 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00749 30615 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00759 30612 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00768 30609 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00778 30606 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00788 30603 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00798 30600 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00807 30597 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00817 30594 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00827 30591 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00836 30588 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00846 30585 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00856 30582 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00866 30579 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00875 30576 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00885 30573 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00895 30570 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00904 30567 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00914 30564 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00924 30561 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00934 30558 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00943 30555 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00953 30552 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00963 30549 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00973 30546 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00982 30543 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00992 30540 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01002 30537 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01011 30534 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01021 30531 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01031 30528 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01041 30525 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01050 30522 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01060 30519 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01070 30516 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01080 30513 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01089 30510 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01099 30507 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01109 30504 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01118 30501 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01128 30498 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01138 30495 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01148 30492 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01157 30489 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01167 30486 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01177 30483 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01187 30480 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01196 30477 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01206 30474 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01216 30471 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01225 30468 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01235 30465 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01245 30462 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01255 30459 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01264 30456 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01274 30453 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01284 30450 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01294 30447 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01303 30444 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01313 30441 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01323 30438 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01332 30435 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01342 30432 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01352 30429 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01362 30426 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01371 30423 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01381 30420 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
